plant_id,country,region,capacity_tpd,kiln_type,fuel_type,commissioning_year,specific_energy_kwh_t,specific_thermal_kcal_kg,co2_intensity_kg_t,technology_level,ownership
GLOBAL_PLANT_00001,China,Asia,20000.0,Dry Process,Coal,2023,76.33761822627716,3294.882134077914,915.6803948913473,Intermediate,Private
GLOBAL_PLANT_00002,Indonesia,Asia,7156.822443469366,Dry Process,Coal,1988,108.46945592316462,3609.864435561736,912.6238188436383,Intermediate,State-owned
GLOBAL_PLANT_00003,India,South America,2373.6780100363585,Dry Process,Natural Gas,2014,90.0616334502109,3284.278549084348,775.9601524311589,Intermediate,Private
GLOBAL_PLANT_00004,China,Asia,8493.742833871918,Dry Process,Coal,2015,60.0,3442.6965827687027,876.7843694668111,Intermediate,State-owned
GLOBAL_PLANT_00005,China,Asia,2833.0003623596854,Dry Process,Petcoke,2021,130.74479929209338,3528.3687363841386,780.5415336960332,Modern,State-owned
GLOBAL_PLANT_00006,China,Europe,2135.550113774338,Dry Process,Coal,1988,86.32019075568085,3570.946853655253,803.3870549435244,Intermediate,Multinational
GLOBAL_PLANT_00007,China,Asia,1229.9942802106646,Dry Process,Coal,1992,124.91143472964853,3761.0416078463913,752.6476618445803,Intermediate,Private
GLOBAL_PLANT_00008,Iran,Europe,600.5256961716987,Dry Process,Petcoke,1996,120.56869915931429,3050.239400517221,781.8354861093767,Modern,State-owned
GLOBAL_PLANT_00009,India,Asia,3078.1731045999104,Dry Process,Coal,1996,74.97980911034372,2984.454804451665,934.133006954968,Traditional,Private
GLOBAL_PLANT_00010,India,Asia,5941.186785293353,Dry Process,Coal,2008,115.66379728726295,3435.0396944974204,809.2421147339236,Intermediate,Private
GLOBAL_PLANT_00011,China,Asia,4376.705695124064,Dry Process,Petcoke,2005,81.97114900272638,3412.47986589722,813.5282508552318,Traditional,Private
GLOBAL_PLANT_00012,UAE,Asia,2983.462108301955,Semi-Dry,Petcoke,1981,60.0,3432.702589884707,655.2782220742042,Traditional,Private
GLOBAL_PLANT_00013,Turkey,South America,1579.8808742967312,Dry Process,Coal,1996,86.50803667955715,3766.7847362750754,769.075609236727,Intermediate,State-owned
GLOBAL_PLANT_00014,China,Asia,10197.475106201844,Dry Process,Natural Gas,2015,102.95275003552558,3203.410972639548,775.8685096255272,Intermediate,Private
GLOBAL_PLANT_00015,China,Asia,1011.7549700399505,Dry Process,Petcoke,2003,85.74526704007324,3327.8469678938554,717.0856514556594,Intermediate,Private
GLOBAL_PLANT_00016,China,Asia,12471.90129541807,Dry Process,Natural Gas,2002,88.85903318149798,2905.8835245549576,802.1665411703564,Intermediate,Private
GLOBAL_PLANT_00017,China,Asia,1476.3669380636068,Dry Process,Coal,1997,117.87132089857226,3840.5963371927874,757.0817709772346,Traditional,State-owned
GLOBAL_PLANT_00018,China,North America,1992.3651213055264,Dry Process,Coal,2000,97.12987960580183,3099.036523637267,807.9995855243582,Intermediate,Private
GLOBAL_PLANT_00019,China,Asia,845.4404813660113,Dry Process,Natural Gas,2001,78.13403377430095,3107.535221551751,812.1503009818935,Modern,State-owned
GLOBAL_PLANT_00020,China,Asia,2692.747760996422,Dry Process,Natural Gas,2019,109.04060647334653,3095.9750326975272,704.4245642177356,Intermediate,State-owned
GLOBAL_PLANT_00021,India,Africa,15841.28760364429,Dry Process,Coal,1989,98.9535113390849,3006.5312424066988,760.1298217516811,Traditional,State-owned
GLOBAL_PLANT_00022,China,Asia,9124.822316828706,Dry Process,Coal,2009,60.0,2981.1688853457053,807.7374282760834,Intermediate,Private
GLOBAL_PLANT_00023,China,South America,15900.511133198037,Dry Process,Coal,2004,103.56705827542898,3042.8887151331423,918.4299431156726,Intermediate,State-owned
GLOBAL_PLANT_00024,China,Asia,9196.433778539853,Dry Process,Coal,2000,102.83657415432204,2790.2612215847166,825.671917279574,Intermediate,Private
GLOBAL_PLANT_00025,China,Asia,1307.1391926374401,Dry Process,Coal,2000,95.4024225916172,2964.4046239210284,733.8064820082573,Modern,State-owned
GLOBAL_PLANT_00026,USA,Asia,3304.541226856905,Wet Process,Coal,2007,112.83401162139151,3784.688933434286,839.9004759243852,Modern,State-owned
GLOBAL_PLANT_00027,China,Europe,1927.079734443856,Dry Process,Natural Gas,1991,81.55212831346995,3420.6965430924106,970.7548889321761,Intermediate,Private
GLOBAL_PLANT_00028,China,Oceania,20000.0,Dry Process,Coal,2014,101.72999577641802,3477.7712530183153,891.6706472589019,Intermediate,State-owned
GLOBAL_PLANT_00029,China,Asia,1168.9411573133223,Wet Process,Petcoke,2010,63.660812576652944,3553.1626362250745,854.752653043562,Intermediate,Private
GLOBAL_PLANT_00030,China,Asia,14363.380521631218,Dry Process,Coal,1978,103.14180766797664,3750.240369308717,872.5590175482322,Intermediate,Private
GLOBAL_PLANT_00031,India,Asia,14350.565730379843,Dry Process,Coal,2021,134.06119391079793,2668.5732345668466,943.9954041428631,Intermediate,Private
GLOBAL_PLANT_00032,China,Asia,20000.0,Dry Process,Coal,1978,75.10287295064919,2831.035065414038,907.562679401766,Modern,Multinational
GLOBAL_PLANT_00033,China,Asia,3006.0316188725315,Wet Process,Coal,1984,79.8039573602445,2958.8829017315943,856.6760381117658,Modern,Multinational
GLOBAL_PLANT_00034,Vietnam,Africa,11553.995553501542,Wet Process,Petcoke,1982,80.79969114216895,3059.0810610531207,906.8642219590085,Modern,State-owned
GLOBAL_PLANT_00035,Saudi Arabia,Asia,20000.0,Dry Process,Natural Gas,1991,97.5999645160319,3109.8291828244255,691.8348903735939,Intermediate,Multinational
GLOBAL_PLANT_00036,Brazil,Asia,2342.162642375458,Dry Process,Coal,1985,73.73927454292564,3065.9067341581876,649.7734747659719,Modern,Private
GLOBAL_PLANT_00037,China,Asia,778.9537732450664,Dry Process,Coal,2001,103.42494757381961,3265.792673939616,815.709865064383,Intermediate,Multinational
GLOBAL_PLANT_00038,China,Asia,514.9078534478379,Dry Process,Coal,1971,111.9367989093833,3210.5886172235646,806.8680709650538,Modern,Private
GLOBAL_PLANT_00039,India,Asia,11559.40227568114,Dry Process,Natural Gas,1995,105.68694426907568,2983.1495614465252,745.6089946486743,Intermediate,State-owned
GLOBAL_PLANT_00040,China,Asia,512.9712241536268,Dry Process,Petcoke,1983,60.0,2547.3353669037288,882.5852669827709,Modern,State-owned
GLOBAL_PLANT_00041,China,North America,3143.893052136479,Dry Process,Coal,2007,114.90335330317212,2902.1393883863907,613.7136413548765,Intermediate,Private
GLOBAL_PLANT_00042,China,Asia,8306.352183993076,Dry Process,Petcoke,2003,113.7473482850736,3035.2284040062273,746.5227743942196,Intermediate,Private
GLOBAL_PLANT_00043,China,Asia,6137.73244437308,Dry Process,Petcoke,1977,111.60322744692608,3125.876168957684,751.5044455122385,Modern,Private
GLOBAL_PLANT_00044,Spain,Asia,8188.891641828359,Dry Process,Coal,2005,102.4568449731165,2861.099762206839,636.369821490054,Traditional,Multinational
GLOBAL_PLANT_00045,China,North America,6417.268423657774,Dry Process,Coal,1990,99.40378628410265,3052.758060051074,949.4731007269304,Modern,Private
GLOBAL_PLANT_00046,India,Europe,20000.0,Wet Process,Natural Gas,2015,115.64778796252793,2860.703783454324,664.0798731336677,Intermediate,Private
GLOBAL_PLANT_00047,China,Asia,1567.473463400106,Dry Process,Petcoke,2012,133.4702697520691,3162.2541945355,741.1659942692314,Traditional,State-owned
GLOBAL_PLANT_00048,China,Europe,2181.1462794458325,Dry Process,Coal,1997,75.939190732703,2878.072601491215,890.7979757805134,Intermediate,Private
GLOBAL_PLANT_00049,China,Asia,1944.594334026174,Dry Process,Coal,2015,116.56250791589544,2945.3286030888607,864.6045343428732,Traditional,Private
GLOBAL_PLANT_00050,China,Asia,13309.457799523849,Dry Process,Coal,2013,93.27565803985094,2807.3947607032583,689.1825303515253,Modern,State-owned
