plant_id,country,cement_type,process_type,capacity_tpd,commissioning_year,kiln_count,grinding_mills
GLOBAL_0001,Turkey,CEM II,Dry,3530.4603876829447,2014,3,3
GLOBAL_0002,Germany,CEM V,Semi-dry,5965.327339822292,1996,3,7
GLOBAL_0003,Russia,CEM I,Wet,8962.88998542462,2006,1,1
GLOBAL_0004,Brazil,CEM I,Wet,12386.686453121385,2018,3,3
GLOBAL_0005,Turkey,CEM III,Semi-dry,10760.449249090792,2019,2,5
GLOBAL_0006,Italy,CEM IV,Wet,6475.5059932310605,1996,4,3
GLOBAL_0007,India,CEM III,Semi-dry,1122.8227980045006,2022,3,4
GLOBAL_0008,Turkey,CEM IV,Wet,10428.545216115464,1996,3,2
GLOBAL_0009,Russia,CEM II,Dry,6426.893782682619,2013,4,3
GLOBAL_0010,Brazil,CEM II,Dry,14957.557713500166,2000,3,6
GLOBAL_0011,Germany,CEM V,Wet,1454.9790401391863,1998,1,2
GLOBAL_0012,Russia,CEM IV,Semi-dry,12111.728414810026,2001,2,5
GLOBAL_0013,Russia,CEM V,Dry,18888.01051261524,1993,4,2
GLOBAL_0014,India,CEM I,Semi-dry,4313.776075118491,2017,4,3
GLOBAL_0015,Mexico,CEM IV,Wet,9961.340324261311,2002,1,3
GLOBAL_0016,Brazil,CEM III,Semi-dry,2737.017844525625,2012,2,6
GLOBAL_0017,China,CEM I,Dry,12887.9563329657,2008,1,1
GLOBAL_0018,Russia,CEM I,Semi-dry,11460.101931328287,2013,2,6
GLOBAL_0019,Mexico,CEM III,Semi-dry,8739.944960043815,2005,1,3
GLOBAL_0020,China,CEM I,Wet,10906.163408001083,2022,3,7
GLOBAL_0021,Brazil,CEM IV,Wet,18034.918510911193,2001,1,2
GLOBAL_0022,USA,CEM V,Wet,4729.591743910274,2023,4,6
GLOBAL_0023,Italy,CEM I,Dry,1428.7257224015975,1996,4,6
GLOBAL_0024,Mexico,CEM IV,Dry,17371.63280928292,2000,4,7
GLOBAL_0025,Japan,CEM II,Wet,11965.224565370223,2020,1,7
GLOBAL_0026,USA,CEM IV,Wet,17922.510653775007,2018,4,7
GLOBAL_0027,Italy,CEM V,Dry,12341.959244850279,2002,4,1
GLOBAL_0028,India,CEM IV,Dry,16393.06070923435,2020,3,3
GLOBAL_0029,Turkey,CEM III,Dry,9163.79390374781,1991,3,3
GLOBAL_0030,Germany,CEM V,Dry,15247.338694477106,2004,2,5
GLOBAL_0031,Japan,CEM II,Wet,18347.787870907265,2000,2,1
GLOBAL_0032,India,CEM III,Dry,11870.33631072192,2023,2,5
GLOBAL_0033,Brazil,CEM IV,Wet,4434.917860685211,1993,1,5
GLOBAL_0034,India,CEM V,Semi-dry,6107.154685573765,2000,2,5
GLOBAL_0035,Turkey,CEM II,Semi-dry,4774.24696105071,2018,1,4
GLOBAL_0036,Brazil,CEM III,Dry,5690.283524318926,1991,1,5
GLOBAL_0037,Japan,CEM II,Semi-dry,6821.893537669691,2005,2,6
GLOBAL_0038,Turkey,CEM IV,Semi-dry,11547.541948310582,2002,2,2
GLOBAL_0039,China,CEM II,Semi-dry,12171.840959812822,2006,1,6
GLOBAL_0040,Germany,CEM I,Dry,9103.495197595363,2010,3,6
GLOBAL_0041,Japan,CEM III,Dry,12692.994816595874,2008,4,3
GLOBAL_0042,China,CEM II,Semi-dry,2549.9235866159524,1996,4,4
GLOBAL_0043,Italy,CEM IV,Wet,2667.9765041050396,1997,4,5
